/SAR_out_analog X,/SAR_out_analog Y,/Vin X,/Vin Y,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y,/out3 X,/out3 Y,/out4 X,/out4 Y
4.692000000000008e-07,0.03125,4.692000000000008e-07,0.04692000000000025,4.692000000000008e-07,0,4.692000000000008e-07,1.8,4.692000000000008e-07,0,4.692000000000008e-07,0,4.692000000000008e-07,0
4.743000000000009e-07,0.03125,4.743000000000009e-07,0.04743000000000294,4.743000000000009e-07,0,4.743000000000009e-07,1.8,4.743000000000009e-07,0,4.743000000000009e-07,0,4.743000000000009e-07,0
4.794000000000009e-07,0.03125,4.794000000000009e-07,0.04794000000000052,4.794000000000009e-07,0,4.794000000000009e-07,1.8,4.794000000000009e-07,0,4.794000000000009e-07,0,4.794000000000009e-07,0
4.845000000000008e-07,0.03125,4.845000000000008e-07,0.04845000000000019,4.845000000000008e-07,0,4.845000000000008e-07,1.8,4.845000000000008e-07,0,4.845000000000008e-07,0,4.845000000000008e-07,0
4.896000000000008e-07,0.03125,4.896000000000008e-07,0.0489600000000021,4.896000000000008e-07,0,4.896000000000008e-07,1.8,4.896000000000008e-07,0,4.896000000000008e-07,0,4.896000000000008e-07,0
4.947000000000007e-07,0.03125,4.947000000000007e-07,0.04947000000000931,4.947000000000007e-07,0,4.947000000000007e-07,1.8,4.947000000000007e-07,0,4.947000000000007e-07,0,4.947000000000007e-07,0
4.998000000000007e-07,0.03125,4.998000000000007e-07,0.04998000000000091,4.998000000000007e-07,0,4.998000000000007e-07,1.8,4.998000000000007e-07,0,4.998000000000007e-07,0,4.998000000000007e-07,0
5.049000000000007e-07,0.03125,5.049000000000007e-07,0.05049000000000991,5.049000000000007e-07,0,5.049000000000007e-07,1.8,5.049000000000007e-07,0,5.049000000000007e-07,0,5.049000000000007e-07,0
5.100000000000006e-07,0.03125,5.100000000000006e-07,0.051,5.100000000000006e-07,0,5.100000000000006e-07,1.8,5.100000000000006e-07,0,5.100000000000006e-07,0,5.100000000000006e-07,0
5.151000000000006e-07,0.03125,5.151000000000006e-07,0.05151000000000291,5.151000000000006e-07,0,5.151000000000006e-07,1.8,5.151000000000006e-07,0,5.151000000000006e-07,0,5.151000000000006e-07,0
5.202000000000005e-07,0.03125,5.202000000000005e-07,0.05202000000000513,5.202000000000005e-07,0,5.202000000000005e-07,1.8,5.202000000000005e-07,0,5.202000000000005e-07,0,5.202000000000005e-07,0
5.253000000000005e-07,0.03125,5.253000000000005e-07,0.05253000000000572,5.253000000000005e-07,0,5.253000000000005e-07,1.8,5.253000000000005e-07,0,5.253000000000005e-07,0,5.253000000000005e-07,0
5.304000000000005e-07,0.03125,5.304000000000005e-07,0.05304000000000405,5.304000000000005e-07,0,5.304000000000005e-07,1.8,5.304000000000005e-07,0,5.304000000000005e-07,0,5.304000000000005e-07,0
5.355000000000004e-07,0.03125,5.355000000000004e-07,0.05355000000000327,5.355000000000004e-07,0,5.355000000000004e-07,1.8,5.355000000000004e-07,0,5.355000000000004e-07,0,5.355000000000004e-07,0
5.406000000000004e-07,0.03125,5.406000000000004e-07,0.05406000000000235,5.406000000000004e-07,0,5.406000000000004e-07,1.8,5.406000000000004e-07,0,5.406000000000004e-07,0,5.406000000000004e-07,0
5.457000000000003e-07,0.03125,5.457000000000003e-07,0.05457000000000505,5.457000000000003e-07,0,5.457000000000003e-07,1.8,5.457000000000003e-07,0,5.457000000000003e-07,0,5.457000000000003e-07,0
5.508000000000003e-07,0.03125,5.508000000000003e-07,0.05508000000000994,5.508000000000003e-07,0,5.508000000000003e-07,1.8,5.508000000000003e-07,0,5.508000000000003e-07,0,5.508000000000003e-07,0
5.559000000000003e-07,0.046875,5.559000000000003e-07,0.05559000000000019,5.559000000000003e-07,1.8,5.559000000000003e-07,1.8,5.559000000000003e-07,0,5.559000000000003e-07,0,5.559000000000003e-07,0
5.610000000000002e-07,0.046875,5.610000000000002e-07,0.05610000000000296,5.610000000000002e-07,1.8,5.610000000000002e-07,1.8,5.610000000000002e-07,0,5.610000000000002e-07,0,5.610000000000002e-07,0
5.661000000000002e-07,0.046875,5.661000000000002e-07,0.05661000000000484,5.661000000000002e-07,1.8,5.661000000000002e-07,1.8,5.661000000000002e-07,0,5.661000000000002e-07,0,5.661000000000002e-07,0
5.712000000000001e-07,0.046875,5.712000000000001e-07,0.0571200000000015,5.712000000000001e-07,1.8,5.712000000000001e-07,1.8,5.712000000000001e-07,0,5.712000000000001e-07,0,5.712000000000001e-07,0
5.763000000000001e-07,0.046875,5.763000000000001e-07,0.05763000000000421,5.763000000000001e-07,1.8,5.763000000000001e-07,1.8,5.763000000000001e-07,0,5.763000000000001e-07,0,5.763000000000001e-07,0
5.814000000000001e-07,0.046875,5.814000000000001e-07,0.05814000000000211,5.814000000000001e-07,1.8,5.814000000000001e-07,1.8,5.814000000000001e-07,0,5.814000000000001e-07,0,5.814000000000001e-07,0
5.865e-07,0.046875,5.865e-07,0.05865000000000958,5.865e-07,1.8,5.865e-07,1.8,5.865e-07,0,5.865e-07,0,5.865e-07,0
