/clk X,/clk Logic,/eoc X,/eoc Logic,/out0 X,/out0 Y,/out1 X,/out1 Y,/out2 X,/out2 Y,/out3 X,/out3 Y,/out4 X,/out4 Y,/SW_inp X,/SW_inp Y,/SAR_out_analog X,/SAR_out_analog Y,/Vin X,/Vin Y
2.40046e-07,1,  ,  ,5.0540549961e-09,0,5.0540549961e-09,0,5.0540549961e-09,0,5.0540549961e-09,0,5.0540549961e-09,0,5.0540549961e-09,4.235670202348377e-06,5.0540549961e-09,0,5.0540549961e-09,0.2142822235692107
2.45067e-07,0,  ,  ,5.0584802301e-09,0,5.0584802301e-09,0,5.0584802301e-09,0,5.0584802301e-09,0,5.0584802301e-09,0,5.0584802301e-09,4.235659184217328e-06,5.0584802301e-09,0,5.0584802301e-09,0.2142947151714011
2.50046e-07,1,  ,  ,5.064595579e-09,0,5.064595579e-09,0,5.064595579e-09,0,5.064595579e-09,0,5.064595579e-09,0,5.064595579e-09,4.235644039146832e-06,5.064595579e-09,0,5.064595579e-09,0.2143119775902287
2.55067e-07,0,  ,  ,5.067305e-09,0,5.067305e-09,0,5.067305e-09,0,5.067305e-09,0,5.067305e-09,0,5.067305e-09,4.235637345174889e-06,5.067305e-09,0,5.067305e-09,0.2143196257271407
2.60046e-07,1,  ,  ,5.0697258913e-09,0,5.0697258913e-09,0,5.0697258913e-09,0,5.0697258913e-09,0,5.0697258913e-09,0,5.0697258913e-09,0.00540552777404041,5.0697258913e-09,0,5.0697258913e-09,0.2143264593929947
2.65067e-07,0,  ,  ,5.0727586554e-09,0,5.0727586554e-09,0,5.0727586554e-09,0,5.0727586554e-09,0,5.0727586554e-09,0,5.0727586554e-09,0.02081111394144769,5.0727586554e-09,0,5.0727586554e-09,0.2143350202317273
2.70046e-07,1,  ,  ,5.0750990088e-09,0,5.0750990088e-09,0,5.0750990088e-09,0,5.0750990088e-09,0,5.0750990088e-09,0,5.0750990088e-09,0.03521094594928783,5.0750990088e-09,0,5.0750990088e-09,0.2143416265327915
2.75067e-07,0,  ,  ,5.0781956075e-09,0,5.0781956075e-09,0,5.0781956075e-09,0,5.0781956075e-09,0,5.0781956075e-09,0,5.0781956075e-09,0.05686667608882702,5.0781956075e-09,0,5.0781956075e-09,0.2143503675319818
2.80046e-07,1,  ,  ,5.0810986691e-09,0,5.0810986691e-09,0,5.0810986691e-09,0,5.0810986691e-09,0,5.0810986691e-09,0,5.0810986691e-09,0.07900025558885782,5.0810986691e-09,0,5.0810986691e-09,0.2143585622037726
2.85067e-07,0,  ,  ,5.0840550925e-09,0,5.0840550925e-09,0,5.0840550925e-09,0,5.0840550925e-09,0,5.0840550925e-09,0,5.0840550925e-09,0.1027799298187265,5.0840550925e-09,0,5.0840550925e-09,0.2143669074874692
2.90046e-07,1,  ,  ,5.0875628188e-09,0,5.0875628188e-09,0,5.0875628188e-09,0,5.0875628188e-09,0,5.0875628188e-09,0,5.0875628188e-09,0.132080672038844,5.0875628188e-09,0,5.0875628188e-09,0.2143768089481053
2.95067e-07,0,  ,  ,5.0922156708e-09,0,5.0922156708e-09,0,5.0922156708e-09,0,5.0922156708e-09,0,5.0922156708e-09,0,5.0922156708e-09,0.1721051825350024,5.0922156708e-09,0,5.0922156708e-09,0.2143899427857291
3.00046e-07,1,  ,  ,5.0983361824e-09,0,5.0983361824e-09,0,5.0983361824e-09,0,5.0983361824e-09,0,5.0983361824e-09,0,5.0983361824e-09,0.2259057205626135,5.0983361824e-09,0,5.0983361824e-09,0.2144072193989054
3.05067e-07,0,  ,  ,5.1072951753e-09,0,5.1072951753e-09,0,5.1072951753e-09,0,5.1072951753e-09,0,5.1072951753e-09,0,5.1072951753e-09,0.3057484903369798,5.1072951753e-09,0,5.1072951753e-09,0.2144325081825105
3.10046e-07,1,  ,  ,5.1181311202e-09,0,5.1181311202e-09,0,5.1181311202e-09,0,5.1181311202e-09,0,5.1181311202e-09,0,5.1181311202e-09,0.4029381982121591,5.1181311202e-09,0,5.1181311202e-09,0.2144630948893643
3.15067e-07,0,  ,  ,5.1299944989e-09,0,5.1299944989e-09,0,5.1299944989e-09,0,5.1299944989e-09,0,5.1299944989e-09,0,5.1299944989e-09,0.5094466495555772,5.1299944989e-09,0,5.1299944989e-09,0.2144965814929401
3.20046e-07,1,  ,  ,5.1435190421e-09,0,5.1435190421e-09,0,5.1435190421e-09,0,5.1435190421e-09,0,5.1435190421e-09,0,5.1435190421e-09,0.6308493423247599,5.1435190421e-09,0,5.1435190421e-09,0.2145347567251546
3.25067e-07,0,  ,  ,5.1597473616e-09,0,5.1597473616e-09,0,5.1597473616e-09,0,5.1597473616e-09,0,5.1597473616e-09,0,5.1597473616e-09,0.7766318840581845,5.1597473616e-09,0,5.1597473616e-09,0.2145805633585753
3.30046e-07,1,  ,  ,5.1638151299e-09,0,5.1638151299e-09,0,5.1638151299e-09,0,5.1638151299e-09,0,5.1638151299e-09,0,5.1638151299e-09,0.813185468860693,5.1638151299e-09,0,5.1638151299e-09,0.2145920451094287
3.35067e-07,0,  ,  ,5.165849014e-09,0,5.165849014e-09,0,5.165849014e-09,0,5.165849014e-09,0,5.165849014e-09,0,5.165849014e-09,0.8314554258164941,5.165849014e-09,0,5.165849014e-09,0.2145977859732754
3.40046e-07,1,  ,  ,5.1699167822e-09,0,5.1699167822e-09,0,5.1699167822e-09,0,5.1699167822e-09,0,5.1699167822e-09,0,5.1699167822e-09,0.8679521875509496,5.1699167822e-09,0,5.1699167822e-09,0.2146092676777936
3.45067e-07,0,  ,  ,5.1704252533e-09,0,5.1704252533e-09,0,5.1704252533e-09,0,5.1704252533e-09,0,5.1704252533e-09,0,5.1704252533e-09,0.8725078788597026,5.1704252533e-09,0,5.1704252533e-09,0.2146107028886849
