/outn X,/outn Y,/input X,/input Y,/reference X,/reference Y,/CLK X,/CLK Y,diff X,diff Y
5.02370406849125e-09,0.001890345284938723,5.02370406849125e-09,0.9378306379476208,5.02370406849125e-09,0.4319176590261615,5.02370406849125e-09,1.804631097569435,5.02370406849125e-09,0.5059129789214593
5.026894499820959e-09,0.003251669151261069,5.026894499820959e-09,0.9378328272715866,5.026894499820959e-09,0.4319135972973611,5.026894499820959e-09,1.811246774083314,5.026894499820959e-09,0.5059192299742254
5.033275362480376e-09,0.004762805459389602,5.033275362480376e-09,0.9378157847395245,5.033275362480376e-09,0.4319054939065751,5.033275362480376e-09,1.822945363461914,5.033275362480376e-09,0.5059102908329494
5.04116563809663e-09,0.003498090152048864,5.04116563809663e-09,0.9377111560302923,5.04116563809663e-09,0.4318450984384197,5.04116563809663e-09,1.827461535602766,5.04116563809663e-09,0.5058660575918726
5.048561475660743e-09,-0.0040475783363552,5.048561475660743e-09,0.9374755377961721,5.048561475660743e-09,0.43167092244749,5.048561475660743e-09,1.805021877288795,5.048561475660743e-09,0.5058046153486822
5.057326026312878e-09,-0.02138750386991425,5.057326026312878e-09,0.9371656600957782,5.057326026312878e-09,0.431433253482795,5.057326026312878e-09,1.730632695383868,5.057326026312878e-09,0.5057324066129831
5.067605734748739e-09,-0.04757440997934139,5.067605734748739e-09,0.9368597808796391,5.067605734748739e-09,0.4311477236354442,5.067605734748739e-09,1.571488781145557,5.067605734748739e-09,0.5057120572441949
5.078536433534607e-09,-0.07516778632676992,5.078536433534607e-09,0.9365447502629122,5.078536433534607e-09,0.4308255001815599,5.078536433534607e-09,1.338400925293394,5.078536433534607e-09,0.5057192500813523
5.089297526898079e-09,-0.09918000126943634,5.089297526898079e-09,0.9363007489625158,5.089297526898079e-09,0.4305492282742742,5.089297526898079e-09,1.075586795586317,5.089297526898079e-09,0.5057515206882416
5.099637185753277e-09,-0.1214415978349013,5.099637185753277e-09,0.9375476489593153,5.099637185753277e-09,0.4313094049217786,5.099637185753277e-09,0.8127232882646024,5.099637185753277e-09,0.5062382440375367
5.110498379906991e-09,-0.1450829131321506,5.110498379906991e-09,0.9404604259080005,5.110498379906991e-09,0.433436902891128,5.110498379906991e-09,0.5451890533613014,5.110498379906991e-09,0.5070235230168725
