out0X,out0Y,out1X,out1Y,out2X,out2Y,out3X,out3Y,out4X,out4Y,SAR_out_analogX,SAR_out_analogY,SW_inpX,SW_inpY,VinX,VinY
1.1507e-07,0,1.1507e-07,1,1.1507e-07,1,1.1507e-07,1,1.1507e-07,0,1.1507e-07,0.21875,1.1507e-07,0,1.1507e-07,0.44099
1.1513e-07,0,1.1513e-07,1,1.1513e-07,1,1.1513e-07,1,1.1513e-07,0,1.1513e-07,0.21875,1.1513e-07,0,1.1513e-07,0.44103
1.152e-07,0,1.152e-07,1,1.152e-07,1,1.152e-07,1,1.152e-07,0,1.152e-07,0.21875,1.152e-07,0,1.152e-07,0.44108
1.1525e-07,0,1.1525e-07,1,1.1525e-07,1,1.1525e-07,1,1.1525e-07,0,1.1525e-07,0.21875,1.1525e-07,0,1.1525e-07,0.44112
1.1527e-07,0,1.1527e-07,1,1.1527e-07,1,1.1527e-07,1,1.1527e-07,0,1.1527e-07,0.21875,1.1527e-07,0,1.1527e-07,0.44114
1.1542e-07,0,1.1542e-07,1,1.1542e-07,1,1.1542e-07,1,1.1542e-07,0,1.1542e-07,0.21875,1.1542e-07,0,1.1542e-07,0.44124
1.2001e-07,0,1.2001e-07,1,1.2001e-07,1,1.2001e-07,1,1.2001e-07,0,1.2001e-07,0.21875,1.2001e-07,0,1.2001e-07,0.44432
1.2003e-07,0,1.2003e-07,1,1.2003e-07,1,1.2003e-07,1,1.2003e-07,0,1.2003e-07,0.21875,1.2003e-07,0,1.2003e-07,0.44434
1.2008e-07,0,1.2008e-07,1,1.2008e-07,1,1.2008e-07,1,1.2008e-07,0,1.2008e-07,0.21875,1.2008e-07,0,1.2008e-07,0.44436
1.2121e-07,0,1.2121e-07,1,1.2121e-07,1,1.2121e-07,1,1.2121e-07,0,1.2121e-07,0.21875,1.2121e-07,0,1.2121e-07,0.44502
1.2503e-07,0,1.2503e-07,1,1.2503e-07,1,1.2503e-07,1,1.2503e-07,0,1.2503e-07,0.21875,1.2503e-07,0,1.2503e-07,0.44693
1.2507e-07,0,1.2507e-07,1,1.2507e-07,1,1.2507e-07,1,1.2507e-07,0,1.2507e-07,0.21875,1.2507e-07,0,1.2507e-07,0.44695
1.2513e-07,0,1.2513e-07,1,1.2513e-07,1,1.2513e-07,1,1.2513e-07,0,1.2513e-07,0.21875,1.2513e-07,0,1.2513e-07,0.44698
1.252e-07,0,1.252e-07,1,1.252e-07,1,1.252e-07,1,1.252e-07,0,1.252e-07,0.21875,1.252e-07,0,1.252e-07,0.44701
1.2524e-07,0,1.2524e-07,1,1.2524e-07,1,1.2524e-07,1,1.2524e-07,0,1.2524e-07,0.21875,1.2524e-07,0,1.2524e-07,0.44703
1.2525e-07,0,1.2525e-07,1,1.2525e-07,1,1.2525e-07,1,1.2525e-07,0,1.2525e-07,0.21875,1.2525e-07,0,1.2525e-07,0.44703
1.2525e-07,0,1.2525e-07,1,1.2525e-07,1,1.2525e-07,1,1.2525e-07,0,1.2525e-07,0.21875,1.2525e-07,0,1.2525e-07,0.44703
1.2525e-07,0,1.2525e-07,1,1.2525e-07,1,1.2525e-07,1,1.2525e-07,0,1.2525e-07,0.21875,1.2525e-07,0,1.2525e-07,0.44703
1.253e-07,0,1.253e-07,1,1.253e-07,1,1.253e-07,1,1.253e-07,0,1.253e-07,0.21875,1.253e-07,0,1.253e-07,0.44705
1.2564e-07,0,1.2564e-07,1,1.2564e-07,1,1.2564e-07,1,1.2564e-07,0,1.2564e-07,0.21875,1.2564e-07,0,1.2564e-07,0.4472
1.3001e-07,0,1.3001e-07,1,1.3001e-07,1,1.3001e-07,1,1.3001e-07,0,1.3001e-07,0.21875,1.3001e-07,0,1.3001e-07,0.44874
1.3005e-07,0,1.3005e-07,1,1.3005e-07,1,1.3005e-07,1,1.3005e-07,0,1.3005e-07,0.21875,1.3005e-07,0,1.3005e-07,0.44875
1.301e-07,0,1.301e-07,1,1.301e-07,1,1.301e-07,1,1.301e-07,0,1.301e-07,0.21875,1.301e-07,0,1.301e-07,0.44877
1.3501e-07,0,1.3501e-07,1,1.3501e-07,1,1.3501e-07,1,1.3501e-07,0,1.3501e-07,0.21875,1.3501e-07,0,1.3501e-07,0.44976
1.3504e-07,0,1.3504e-07,1,1.3504e-07,1,1.3504e-07,1,1.3504e-07,0,1.3504e-07,0.21875,1.3504e-07,0,1.3504e-07,0.44976
1.3508e-07,1,1.3508e-07,1,1.3508e-07,1,1.3508e-07,1,1.3508e-07,1,1.3508e-07,0.21875,1.3508e-07,0,1.3508e-07,0.44977
1.3518e-07,1,1.3518e-07,1,1.3518e-07,1,1.3518e-07,1,1.3518e-07,1,1.3518e-07,0.21875,1.3518e-07,0,1.3518e-07,0.44978
1.359e-07,1,1.359e-07,0,1.359e-07,0,1.359e-07,1,1.359e-07,1,1.359e-07,0.39062,1.359e-07,0,1.359e-07,0.44986
1.4002e-07,1,1.4002e-07,0,1.4002e-07,0,1.4002e-07,1,1.4002e-07,1,1.4002e-07,0.39062,1.4002e-07,0,1.4002e-07,0.44998
1.4006e-07,1,1.4006e-07,0,1.4006e-07,0,1.4006e-07,1,1.4006e-07,1,1.4006e-07,0.39062,1.4006e-07,0,1.4006e-07,0.44998
1.4018e-07,1,1.4018e-07,0,1.4018e-07,0,1.4018e-07,1,1.4018e-07,1,1.4018e-07,0.39062,1.4018e-07,0,1.4018e-07,0.44997
1.4502e-07,1,1.4502e-07,0,1.4502e-07,0,1.4502e-07,1,1.4502e-07,1,1.4502e-07,0.39062,1.4502e-07,0,1.4502e-07,0.4494
1.4506e-07,1,1.4506e-07,0,1.4506e-07,0,1.4506e-07,1,1.4506e-07,1,1.4506e-07,0.39062,1.4506e-07,0,1.4506e-07,0.44939
1.4509e-07,1,1.4509e-07,0,1.4509e-07,0,1.4509e-07,1,1.4509e-07,1,1.4509e-07,0.39062,1.4509e-07,1,1.4509e-07,0.44939
1.4518e-07,1,1.4518e-07,0,1.4518e-07,0,1.4518e-07,1,1.4518e-07,1,1.4518e-07,0.39062,1.4518e-07,1,1.4518e-07,0.44937
1.452e-07,1,1.452e-07,0,1.452e-07,0,1.452e-07,1,1.452e-07,1,1.452e-07,0.39062,1.452e-07,1,1.452e-07,0.44936
